BestHit	Merged EC
GRMZM2G131286	2.7.11.32;2.7.4.27
GRMZM2G131334	2.7.11.24
GRMZM2G131473	3.4.11.18
GRMZM2G131539	4.2.1.11
GRMZM2G131836	1.2.1.44
GRMZM2G131912	4.2.2.2
GRMZM2G132021	3.1.1.29
GRMZM2G132069	2.7.1.11
GRMZM2G132093	2.5.1.18
GRMZM2G132169	1.10.3.2
GRMZM2G132547	6.3.4.2
GRMZM2G132712	3.6.3.8
GRMZM2G133213	1.6.2.2
GRMZM2G133434	1.11.1.7
GRMZM2G133464	3.1.3.16
GRMZM2G133475	1.11.1.7
GRMZM2G133512	2.7.7.6
GRMZM2G134054	3.1.3.2
GRMZM2G134134	1.3.5.1
GRMZM2G134251	3.2.1.52
GRMZM2G134432	2.7.11.1
GRMZM2G134634	1.5.99.12
GRMZM2G134747	4.2.1.104
GRMZM2G134797	2.7.4.6
GRMZM2G134889	5.3.4.1
GRMZM2G134947	1.11.1.7
GRMZM2G135013	2.7.11.1
GRMZM2G135085	1.1.1.34
GRMZM2G135108	1.11.1.7
GRMZM2G135236	3.6.3.1
GRMZM2G135283	2.1.2.1
GRMZM2G135378	2.7.11.1
GRMZM2G135470	1.2.1.19
GRMZM2G135570	5.2.1.8
GRMZM2G135588	2.3.3.16
GRMZM2G135904	2.7.11.24
GRMZM2G135970	3.5.1.14
GRMZM2G136042	1.11.1.7
GRMZM2G136067	3.5.1.98
GRMZM2G136106	3.1.1.11
GRMZM2G136158	1.11.1.7
GRMZM2G136400	2.7.11.1
GRMZM2G136410	2.7.11.1
GRMZM2G136453	3.1.3.2
GRMZM2G136522	1.8.1.9
GRMZM2G136525	1.11.1.7
GRMZM2G136534	1.11.1.7
GRMZM2G136712	1.1.1.3
GRMZM2G137151	2.2.1.7
GRMZM2G137286	3.1.3.16
GRMZM2G137407	2.7.11.1
GRMZM2G137435	3.1.4.11
GRMZM2G137569	2.7.11.1
GRMZM2G137676	3.1.1.11
GRMZM2G137968	3.6.4.12
GRMZM2G138060	3.2.1.68
GRMZM2G138450	1.11.1.7
GRMZM2G138468	3.2.1.1
GRMZM2G138698	3.1.3.2
GRMZM2G138756	3.1.3.2
GRMZM2G139300	3.2.1.26
GRMZM2G139360	2.7.1.11
GRMZM2G139396	4.2.2.2
GRMZM2G139533	5.3.1.23
GRMZM2G139689	1.4.3.16
GRMZM2G139710	2.1.1.43
GRMZM2G139894	3.6.4.12
GRMZM2G140078	3.1.3.12
GRMZM2G140150	1.2.4.1
GRMZM2G140288	2.3.1.48
GRMZM2G140328	3.6.3.8
GRMZM2G140577	2.1.1.43
GRMZM2G140614	5.3.1.9
GRMZM2G140811	3.1.4.4
GRMZM2G140867	3.4.25.1
GRMZM2G141009	2.7.4.14
GRMZM2G141399	2.4.1.21
GRMZM2G141503	2.3.1.225
GRMZM2G141535	1.2.3.7
GRMZM2G141911	3.2.1.4
GRMZM2G142011	1.11.1.7
GRMZM2G142207	2.7.11.1
GRMZM2G142857	2.4.1.207
GRMZM2G142873	2.4.1.46
GRMZM2G142898	2.4.1.12
GRMZM2G143008	2.2.1.6
GRMZM2G143357	2.2.1.6
GRMZM2G143473	2.4.1.207
GRMZM2G143480	2.5.1.78
GRMZM2G143602	2.7.11.1
GRMZM2G143883	1.1.3.20
GRMZM2G144002	2.7.7.27
GRMZM2G144407	1.6.2.4
GRMZM2G144420	3.6.3.8
GRMZM2G144648	1.11.1.7
GRMZM2G144730	2.7.1.40
GRMZM2G145069	2.5.1.18
GRMZM2G145101	4.2.1.1
GRMZM2G145226	3.4.19.12
GRMZM2G145715	1.1.1.44
GRMZM2G145944	3.1.4.4
GRMZM2G146152	1.10.3.2
GRMZM2G146206	5.3.1.1
GRMZM2G146246	2.5.1.18
GRMZM2G146463	3.2.1.22
GRMZM2G146475	2.5.1.18
GRMZM2G146553	2.7.11.1
GRMZM2G146589	6.1.1.6
GRMZM2G146677	2.6.1.1
GRMZM2G147619	2.1.1.43
GRMZM2G147667	3.4.19.12
GRMZM2G147849	3.2.1.4
GRMZM2G148281	1.3.1.42
GRMZM2G148539	3.1.3.16
GRMZM2G149273	1.11.1.7
GRMZM2G149281	2.7.4.14
GRMZM2G149317	2.5.1.32
GRMZM2G149442	2.3.1.225
GRMZM2G149802	2.7.7.7
GRMZM2G149903	2.7.1.134
GRMZM2G150098	2.7.1.40
GRMZM2G150134	1.11.1.7
GRMZM2G150474	2.5.1.18
GRMZM2G150731	1.11.1.7
GRMZM2G150780	1.11.1.7
GRMZM2G150893	1.11.1.7
GRMZM2G151044	3.1.3.12
GRMZM2G151122	3.2.1.23
GRMZM2G151227	2.3.1.74
GRMZM2G151257	3.2.1.4
GRMZM2G151977	1.1.1.3
GRMZM2G152120	2.7.11.1
GRMZM2G152470	2.1.1.10
GRMZM2G152686	2.7.1.40
GRMZM2G152757	3.1.3.7
GRMZM2G152775	3.4.25.1
GRMZM2G152793	2.7.11.1
GRMZM2G152908	2.4.1.13
GRMZM2G153058	6.3.4.2
GRMZM2G153536	2.6.1.42
GRMZM2G153797	2.7.7.6
GRMZM2G154090	3.6.3.27
GRMZM2G154267	2.7.7.7
GRMZM2G154397	4.1.1.50
GRMZM2G154489	2.7.11.1
GRMZM2G154595	1.1.1.37
GRMZM2G154621	3.4.19.12
GRMZM2G154664	6.1.1.7
GRMZM2G154678	3.2.1.4
GRMZM2G155242	5.5.1.4
GRMZM2G155253	4.1.2.13
GRMZM2G155323	4.3.1.19
GRMZM2G155348	1.1.1.8
GRMZM2G155602	2.7.7.6
GRMZM2G155974	6.3.2.3
GRMZM2G156150	2.7.11.1
GRMZM2G156257	1.11.1.7
GRMZM2G156712	1.3.1.42
GRMZM2G156877	2.5.1.18
GRMZM2G156983	2.7.7.41
GRMZM2G157027	3.1.3.2
GRMZM2G157263	1.6.2.2
GRMZM2G157269	6.2.1.1
GRMZM2G157334	4.2.1.17
GRMZM2G157760	3.1.4.11
GRMZM2G157820	2.1.1.43
GRMZM2G157836	2.7.7.80;2.8.1.11
GRMZM2G158043	3.2.1.41
GRMZM2G158237	5.2.1.8
GRMZM2G158240	3.1.1.11
GRMZM2G159013	4.99.1.1
GRMZM2G159125	3.1.4.4
GRMZM2G159752	2.7.11.1
GRMZM2G160062	1.11.1.7
GRMZM2G160237	3.1.3.16
GRMZM2G160327	1.11.1.7
GRMZM2G160526	3.2.1.67
GRMZM2G160541	4.3.1.24
GRMZM2G160556	2.3.2.8
GRMZM2G160842	2.7.7.80;2.8.1.11
GRMZM2G160925	6.3.3.1
GRMZM2G161245	1.1.1.37
GRMZM2G161335	2.4.1.202
GRMZM2G161891	2.5.1.18
GRMZM2G161969	2.3.1.12
GRMZM2G162078	5.3.1.9
GRMZM2G162200	4.1.1.39
GRMZM2G162238	3.2.1.23
GRMZM2G162333	3.1.1.11
GRMZM2G162388	5.2.1.8
GRMZM2G162445	3.6.4.12
GRMZM2G162529	2.7.1.19
GRMZM2G162663	6.2.1.1
GRMZM2G162690	3.2.1.28
GRMZM2G162748	1.10.9.1
GRMZM2G163421	5.3.4.1
GRMZM2G163437	2.7.7.27
GRMZM2G163572	3.5.1.98
GRMZM2G163717	2.3.1.225
GRMZM2G163861	2.7.11.24
GRMZM2G164141	1.7.3.3
GRMZM2G164318	1.14.13.129
GRMZM2G164418	3.4.19.12
GRMZM2G164562	4.2.3.5
GRMZM2G164676	3.2.1.23
GRMZM2G164948	1.8.1.9
GRMZM2G165390	2.4.1.115
GRMZM2G165535	5.4.2.8
GRMZM2G165966	2.8.1.12
GRMZM2G166658	2.7.11.1
GRMZM2G166661	2.3.1.225
GRMZM2G166944	2.4.1.207
GRMZM2G167521	5.2.1.8
GRMZM2G167549	1.14.13.138
GRMZM2G167637	3.1.1.11
GRMZM2G167957	2.7.1.134
GRMZM2G168073	1.11.1.7
GRMZM2G168143	1.18.1.2
GRMZM2G168474	2.4.1.215
GRMZM2G168681	2.5.1.1;2.5.1.10
GRMZM2G168858	1.6.2.4
GRMZM2G168959	2.1.1.228
GRMZM2G169033	1.10.3.2
GRMZM2G169160	6.1.1.11
GRMZM2G169462	2.7.1.48
GRMZM2G169593	4.2.1.20
GRMZM2G169890	1.15.1.1
GRMZM2G170101	2.4.2.7
GRMZM2G170120	2.7.11.1
GRMZM2G170397	5.2.1.8
GRMZM2G170400	2.1.1.103
GRMZM2G170412	2.1.1.43
GRMZM2G170552	2.7.11.1
GRMZM2G170692	4.3.1.24
GRMZM2G171078	1.11.1.7
GRMZM2G171373	2.7.1.1
GRMZM2G171507	2.7.11.1
GRMZM2G171664	1.10.2.2
GRMZM2G171707	4.2.1.3
GRMZM2G172101	6.1.1.11
GRMZM2G172322	1.8.1.7
GRMZM2G172369	3.2.1.24
GRMZM2G172427	2.1.1.43
GRMZM2G172491	1.14.13.139
GRMZM2G172787	5.99.1.2
GRMZM2G172883	3.5.1.98
GRMZM2G173192	1.1.1.27
GRMZM2G173195	1.1.1.8
GRMZM2G174396	3.1.3.12
GRMZM2G174549	3.1.3.2
GRMZM2G174855	2.4.1.207
GRMZM2G174896	2.7.11.1
GRMZM2G175134	2.5.1.18
GRMZM2G175258	2.7.11.1
GRMZM2G175499	3.1.1.11
GRMZM2G175779	3.2.1.23
GRMZM2G176085	1.11.1.7
GRMZM2G176270	2.3.1.225
GRMZM2G176307	1.2.1.12
GRMZM2G176396	3.4.11.5
GRMZM2G176397	4.2.1.3
GRMZM2G176519	2.7.11.1
GRMZM2G177050	2.7.11.1
GRMZM2G177077	1.1.1.49
GRMZM2G177273	2.4.99.18
GRMZM2G177412	1.2.1.70
GRMZM2G177631	2.4.1.12
GRMZM2G177792	1.11.1.7
GRMZM2G177940	3.1.1.11
GRMZM2G177947	2.7.1.40
GRMZM2G178025	3.2.1.4
GRMZM2G178079	2.5.1.18
GRMZM2G178192	2.7.4.3
GRMZM2G178415	1.4.1.3
GRMZM2G178546	3.1.3.12
GRMZM2G178576	2.7.4.6
GRMZM2G178960	5.1.3.1
GRMZM2G179002	2.3.1.225
GRMZM2G179092	4.2.3.47
GRMZM2G179473	2.7.1.134
GRMZM2G179521	1.1.1.49
GRMZM2G179792	3.1.4.4
GRMZM2G180625	1.2.1.12
GRMZM2G180691	3.1.3.16
GRMZM2G180782	3.2.1.4
GRMZM2G180870	2.4.1.207
GRMZM2G181081	2.7.11.1
GRMZM2G181192	4.4.1.5
GRMZM2G300133	2.7.11.1
GRMZM2G300348	2.5.1.32
GRMZM2G300801	2.6.1.52
GRMZM2G300862	2.7.2.4
GRMZM2G301124	2.7.11.1
GRMZM2G301738	2.7.11.1
GRMZM2G302259	1.3.5.1
GRMZM2G303909	2.7.11.1
GRMZM2G304362	1.17.4.1
GRMZM2G304897	2.7.11.1
GRMZM2G305159	3.6.3.8
GRMZM2G305526	1.10.3.2
GRMZM2G305996	3.2.1.22
GRMZM2G306028	2.7.11.24
GRMZM2G307088	3.4.21.89
GRMZM2G307262	5.3.4.1
GRMZM2G308687	2.5.1.18
GRMZM2G308752	2.7.11.1
GRMZM2G309025	2.7.11.1
GRMZM2G309512	2.7.11.1
GRMZM2G309594	1.10.3.2
GRMZM2G310820	3.2.2.22
GRMZM2G313184	1.11.1.7
GRMZM2G313536	5.3.1.5
GRMZM2G315401	5.1.3.3
GRMZM2G315848	3.1.3.2
GRMZM2G316136	2.7.11.1
GRMZM2G317270	3.6.3.8
GRMZM2G318299	3.1.1.11
GRMZM2G318780	2.4.1.13
GRMZM2G319798	2.4.1.207
GRMZM2G320099	3.5.4.26
GRMZM2G320135	3.4.21.92
GRMZM2G320175	3.2.1.67
GRMZM2G320269	1.11.1.7
GRMZM2G320786	1.10.3.2
GRMZM2G321767	2.3.1.225
GRMZM2G321839	1.11.1.7
GRMZM2G321870	3.1.1.11
GRMZM2G322723	2.7.11.1
GRMZM2G322728	2.7.11.1
GRMZM2G323418	4.2.2.2
GRMZM2G324462	3.6.3.1
GRMZM2G325575	1.16.3.1
GRMZM2G325612	1.5.99.12
GRMZM2G326111	5.2.1.8
GRMZM2G326222	1.11.1.7
GRMZM2G326707	3.6.3.27
GRMZM2G327406	2.7.1.25
GRMZM2G327635	3.4.19.12
GRMZM2G328500	1.1.1.22
GRMZM2G328785	2.7.11.1
GRMZM2G328893	2.5.1.47
GRMZM2G330049	2.7.11.1
GRMZM2G330302	6.3.4.2
GRMZM2G330635	2.5.1.18
GRMZM2G330751	2.7.11.1
GRMZM2G331566	3.2.1.4
GRMZM2G333916	2.1.1.37
GRMZM2G334041	2.1.1.37
GRMZM2G334592	2.7.11.1
GRMZM2G334660	4.3.1.24
GRMZM2G335618	2.5.1.18
GRMZM2G335657	1.8.1.4
GRMZM2G335948	5.3.1.5
GRMZM2G336337	1.10.3.2
GRMZM2G336908	4.1.99.12
GRMZM2G336909	2.1.1.43
GRMZM2G337113	1.2.1.13
GRMZM2G338631	3.1.3.16
GRMZM2G339699	2.4.2.14
GRMZM2G340139	3.6.3.8
GRMZM2G340527	1.17.4.1
GRMZM2G340656	2.4.1.82
GRMZM2G341934	1.11.1.7
GRMZM2G343144	3.2.1.4
GRMZM2G345493	4.1.2.13
GRMZM2G345717	1.14.11.19
GRMZM2G346168	5.3.1.1
GRMZM2G346455	3.2.1.22
GRMZM2G347056	1.5.1.20
GRMZM2G347280	3.1.3.12
GRMZM2G348452	1.5.99.12
GRMZM2G348512	4.2.1.1
GRMZM2G350001	3.1.3.16
GRMZM2G352359	3.1.1.11
GRMZM2G352431	2.1.1.43
GRMZM2G352695	3.6.3.8
GRMZM2G353726	2.7.11.1
GRMZM2G355906	4.1.1.15
GRMZM2G356128	2.7.11.1
GRMZM2G357620	3.6.3.8
GRMZM2G357972	2.1.1.43
GRMZM2G359070	4.3.2.2
GRMZM2G361475	1.11.1.7
GRMZM2G361593	2.7.1.64
GRMZM2G361625	3.6.1.7
GRMZM2G361693	1.2.4.1
GRMZM2G362803	2.5.1.47
GRMZM2G363540	2.5.1.18
GRMZM2G364349	4.2.2.2
GRMZM2G364375	2.7.11.1
GRMZM2G364748	2.4.1.207
GRMZM2G365423	2.7.2.4
GRMZM2G365774	1.11.1.7
GRMZM2G366392	4.1.1.50
GRMZM2G366411	2.7.11.1
GRMZM2G367026	4.1.1.23
GRMZM2G367668	1.10.3.2
GRMZM2G370188	3.4.19.12
GRMZM2G370275	5.3.1.1
GRMZM2G370928	1.11.1.7
GRMZM2G371276	2.7.11.1
GRMZM2G372502	3.2.1.22
GRMZM2G374088	2.7.11.24
GRMZM2G374302	4.1.1.19
GRMZM2G374827	3.2.1.45
GRMZM2G374881	3.4.25.1
GRMZM2G375975	2.7.11.24
GRMZM2G376074	3.4.19.12
GRMZM2G376930	3.4.21.92
GRMZM2G377609	4.1.1.37
GRMZM2G378836	2.4.1.12
GRMZM2G379252	6.3.2.3
GRMZM2G380088	3.5.4.5
GRMZM2G380247	1.11.1.7
GRMZM2G380286	1.1.3.20
GRMZM2G381395	2.7.7.6
GRMZM2G382077	3.1.3.16
GRMZM2G382379	1.11.1.7
GRMZM2G382557	3.1.1.11
GRMZM2G382914	2.7.2.3
GRMZM2G383240	2.7.11.1
GRMZM2G383881	2.7.11.1
GRMZM2G385619	3.4.19.12
GRMZM2G385635	4.1.1.39
GRMZM2G386245	2.3.1.225
GRMZM2G386714	6.1.1.6
GRMZM2G386824	3.2.1.23
GRMZM2G386998	3.1.3.2
GRMZM2G388587	1.10.3.2
GRMZM2G388684	2.4.1.207
GRMZM2G388892	2.7.7.6
GRMZM2G390076	3.1.3.16
GRMZM2G390896	2.7.11.1
GRMZM2G391042	3.6.3.8
GRMZM2G391288	2.7.11.1
GRMZM2G391936	2.7.7.27
GRMZM2G392125	2.4.1.207
GRMZM2G392683	2.7.7.6
GRMZM2G393334	6.3.2.17
GRMZM2G394259	3.2.1.67
GRMZM2G394450	3.2.1.26
GRMZM2G394500	1.11.1.7
GRMZM2G395458	2.7.11.1
GRMZM2G396553	4.1.1.19
GRMZM2G397044	5.2.1.8
GRMZM2G397247	4.2.1.24
GRMZM2G398288	3.6.3.1
GRMZM2G400390	1.10.3.2
GRMZM2G400655	3.2.1.22
GRMZM2G401606	2.7.11.1
GRMZM2G401848	5.2.1.8
GRMZM2G401934	2.5.1.3
GRMZM2G401970	2.7.1.11
GRMZM2G402319	2.7.7.1;2.7.7.18
GRMZM2G402368	3.2.1.22
GRMZM2G404443	1.5.99.12
GRMZM2G404676	1.11.1.7
GRMZM2G404855	1.1.1.41
GRMZM2G405459	1.11.1.7
GRMZM2G405581	1.11.1.7
GRMZM2G407406	4.1.2.13
GRMZM2G407740	1.11.1.7
GRMZM2G407825	3.6.3.1
GRMZM2G408963	1.11.1.7
GRMZM2G409658	2.7.11.1
GRMZM2G409934	2.3.1.225
GRMZM2G410175	1.11.1.7
GRMZM2G410515	1.3.5.5
GRMZM2G411652	1.6.5.3
GRMZM2G411668	2.7.11.1
GRMZM2G412207	4.2.2.2
GRMZM2G412601	2.7.11.1
GRMZM2G413006	2.4.1.207
GRMZM2G413030	2.7.11.1
GRMZM2G413044	2.4.1.207
GRMZM2G414528	4.2.1.1
GRMZM2G415359	1.1.1.37
GRMZM2G416632	2.5.1.18
GRMZM2G417455	3.2.1.23
GRMZM2G418689	2.7.11.1
GRMZM2G418956	2.7.11.1
GRMZM2G419267	2.4.2.38
GRMZM2G419290	2.7.11.1
GRMZM2G419806	6.6.1.1
GRMZM2G419953	1.11.1.7
GRMZM2G420882	2.7.11.1
GRMZM2G420926	3.1.3.16
GRMZM2G421857	3.6.3.14
GRMZM2G422340	2.7.11.1
GRMZM2G422631	3.1.1.11
GRMZM2G422750	2.3.1.74
GRMZM2G423027	2.1.1.77
GRMZM2G424832	2.4.1.12
GRMZM2G426964	1.1.1.49
GRMZM2G427031	2.7.7.6
GRMZM2G427444	3.4.21.92
GRMZM2G427620	5.3.1.5
GRMZM2G427815	1.11.1.7
GRMZM2G427903	1.11.1.7
GRMZM2G427937	1.11.1.7
GRMZM2G427954	1.11.1.7
GRMZM2G428168	2.5.1.18
GRMZM2G429899	2.7.7.27
GRMZM2G429940	2.7.11.1
GRMZM2G431856	3.1.1.11
GRMZM2G432128	1.1.1.42
GRMZM2G432738	2.3.1.225
GRMZM2G432801	2.7.1.1
GRMZM2G433942	2.3.1.225
GRMZM2G434170	3.1.3.2
GRMZM2G434353	2.7.7.6
GRMZM2G435244	5.3.1.1
GRMZM2G437207	1.11.1.7
GRMZM2G437487	2.1.2.1
GRMZM2G437977	1.1.1.3
GRMZM2G438378	3.1.4.4
GRMZM2G439389	5.3.1.1
GRMZM2G439422	1.11.1.7
GRMZM2G440208	1.1.1.44
GRMZM2G441347	4.3.1.24
GRMZM2G442008	1.11.1.7
GRMZM2G442551	3.1.4.4
GRMZM2G442658	1.1.1.1
GRMZM2G443885	1.11.1.7
GRMZM2G443985	2.7.1.11
GRMZM2G445100	3.4.25.1
GRMZM2G445905	2.4.1.12
GRMZM2G446108	1.1.5.3
GRMZM2G446858	1.13.11.69;1.13.11.70
GRMZM2G447271	1.10.3.2
GRMZM2G448051	1.11.1.7
GRMZM2G448161	3.4.21.92
GRMZM2G448389	3.6.3.14
GRMZM2G450055	3.6.4.12
GRMZM2G450125	3.2.1.2
GRMZM2G450233	1.11.1.7
GRMZM2G450717	1.11.1.7
GRMZM2G450825	1.9.3.1
GRMZM2G451097	1.11.1.7
GRMZM2G451357	3.4.19.12
GRMZM2G451374	2.1.1.43
GRMZM2G451965	3.2.1.4
GRMZM2G452529	2.7.7.41
GRMZM2G453565	3.2.1.4
GRMZM2G454952	1.3.5.6
GRMZM2G455564	3.1.1.11
GRMZM2G455642	3.2.1.4
GRMZM2G456471	5.3.1.8
GRMZM2G456626	2.7.1.134;2.7.1.159
GRMZM2G461569	3.5.1.5
GRMZM2G462140	1.8.1.4
GRMZM2G462325	2.4.99.18
GRMZM2G465987	2.7.11.1
GRMZM2G466833	1.1.1.37
GRMZM2G467069	2.7.1.1
GRMZM2G467338	4.2.1.3
GRMZM2G470280	5.3.1.5
GRMZM2G470305	2.7.7.6
GRMZM2G470438	5.99.1.2
GRMZM2G470452	3.1.3.16
GRMZM2G471357	1.11.1.7
GRMZM2G471596	2.7.11.1
GRMZM2G472060	4.2.2.2
GRMZM2G472643	2.7.11.1
GRMZM2G473001	4.1.1.31
GRMZM2G474534	3.4.21.92
GRMZM2G474883	3.4.21.92
GRMZM2G475059	2.5.1.18
GRMZM2G476000	3.6.3.8
GRMZM2G478568	2.5.1.43
GRMZM2G481529	4.2.1.11
GRMZM2G493395	2.2.1.7
GRMZM2G503156	2.7.11.1
GRMZM2G504757	1.11.1.7
GRMZM2G527891	3.1.3.12
GRMZM2G538064	3.2.1.4
GRMZM2G544990	5.3.1.5
GRMZM2G556131	4.3.3.7
GRMZM2G568636	1.7.1.1
GRMZM2G569855	4.3.1.19
GRMZM2G574782	3.1.3.77;4.2.1.109
GRMZM2G703749	2.3.1.225
GRMZM5G800488	1.10.3.2
GRMZM5G801436	2.7.4.14
GRMZM5G803490	1.1.1.85
GRMZM5G803981	3.2.1.2
GRMZM5G804358	1.6.5.3
GRMZM5G804708	3.4.21.92
GRMZM5G806435	2.7.7.7
GRMZM5G807835	6.3.3.2
GRMZM5G808290	2.4.1.207
GRMZM5G808402	3.6.3.14
GRMZM5G815553	1.97.1.12
GRMZM5G816636	2.7.1.11
GRMZM5G817037	3.4.25.1
GRMZM5G817173	1.5.99.12
GRMZM5G821611	2.3.1.225
GRMZM5G823318	2.7.2.4
GRMZM5G824600	1.1.1.1;1.1.1.284
GRMZM5G824831	3.4.25.1
GRMZM5G825110	2.7.7.41
GRMZM5G826194	1.8.5.1
GRMZM5G826838	4.1.1.15
GRMZM5G827286	2.7.1.107
GRMZM5G827309	2.7.7.6
GRMZM5G827449	1.6.5.3
GRMZM5G829778	1.1.1.42
GRMZM5G831009	3.1.3.2
GRMZM5G831712	2.4.2.30
GRMZM5G833389	5.4.2.12
GRMZM5G833747	2.7.4.6
GRMZM5G835542	4.6.1.12
GRMZM5G837364	3.4.11.18
GRMZM5G838671	2.3.1.225
GRMZM5G840145	3.1.3.12
GRMZM5G840699	3.6.3.1
GRMZM5G840928	4.2.1.136;4.2.1.93
GRMZM5G841142	1.8.1.9
GRMZM5G841619	4.1.2.8
GRMZM5G842022	3.1.1.11
GRMZM5G842071	1.10.3.2
GRMZM5G843748	1.11.1.7
GRMZM5G844143	1.10.3.9
GRMZM5G844562	1.1.1.195
GRMZM5G845021	2.7.1.25
GRMZM5G845080	2.4.1.207
GRMZM5G847530	2.4.99.18
GRMZM5G850355	3.4.25.1
GRMZM5G851405	2.3.1.48
GRMZM5G852968	5.3.1.1
GRMZM5G855672	1.8.5.1
GRMZM5G856653	2.7.1.1
GRMZM5G858094	6.4.1.2
GRMZM5G858454	4.2.1.3
GRMZM5G860235	3.2.1.52
GRMZM5G862540	1.1.1.22
GRMZM5G863596	3.2.1.1
GRMZM5G864424	1.15.1.1
GRMZM5G865943	3.1.4.4
GRMZM5G866100	2.7.1.48
GRMZM5G868588	2.3.1.225
GRMZM5G868679	3.1.3.2
GRMZM5G869779	6.3.2.17
GRMZM5G870184	1.10.3.2
GRMZM5G872068	6.3.1.2
GRMZM5G872710	2.7.7.7
GRMZM5G875238	2.4.1.14
GRMZM5G875502	2.1.1.43
GRMZM5G876898	2.1.2.10
GRMZM5G876913	1.6.5.3
GRMZM5G877454	2.7.7.6
GRMZM5G877500	2.5.1.19
GRMZM5G878058	3.6.3.8
GRMZM5G879235	2.7.7.6
GRMZM5G879882	2.7.1.11
GRMZM5G881088	3.6.3.27
GRMZM5G881649	3.1.3.2
GRMZM5G884538	1.9.3.1
GRMZM5G886185	2.4.1.207
GRMZM5G889299	2.7.7.7
GRMZM5G889467	3.1.4.11
GRMZM5G889769	1.8.1.9
GRMZM5G889999	2.7.11.1
GRMZM5G891739	1.15.1.1
GRMZM5G892247	2.7.7.6
GRMZM5G894518	3.4.19.12
GRMZM5G895064	2.7.7.6
GRMZM5G895383	2.5.1.18
GRMZM5G895554	2.7.1.25
GRMZM5G895991	4.3.2.2
GRMZM5G897755	1.6.5.3
GRMZM5G898915	5.1.3.3
GRMZM5G899366	2.7.7.6
GRMZM5G899390	3.1.3.16
